student_code,course_code,disability
A935453649,VM11,FALSE
A935454819,V100,FALSE
A935455779,Q300,FALSE
A935460164,R100,FALSE
A935464003,RR14,FALSE
A935464704,Q820,FALSE
A935464748,V117,FALSE
A935465158,V100,FALSE
A935466258,T206,FALSE
A935475113,Y661,FALSE
A935475836,RR1V,FALSE
A935479476,R100,FALSE
A935480151,RR24,FALSE
A935483912,Q600,FALSE
A935484908,Y661,FALSE
A935485444,R400,FALSE
A935486289,W300,FALSE
A935487150,V400,FALSE
A935489187,Q300,FALSE
A935492914,V800,FALSE
A935497713,RV27,FALSE
A935497816,R100,FALSE
A935499120,Q300,FALSE
A935499555,RR14,FALSE
A935503092,V100,FALSE
A935505476,R200,FALSE
A935506495,V600,FALSE
A935508961,Q300,FALSE
A935513149,R100,FALSE
A935513242,RR12,FALSE
A935516368,QV38,FALSE
A935519978,R100,FALSE
A935520158,V400,FALSE
A935533000,V800,FALSE
A935547731,RR14,FALSE
A935556490,V100,FALSE
A935580945,VV78,FALSE
A935610552,RV17,FALSE
A935611009,W300,FALSE
A935613069,V700,FALSE
A935617942,Y661,FALSE
A935620964,R200,FALSE
A935636611,RR12,FALSE
A935638888,V100,FALSE
A935644801,QV37,FALSE
A935646643,V800,FALSE
A935648658,V800,FALSE
A935669239,V100,FALSE
A935674875,V100,FALSE
A935693566,V110,FALSE
A935704851,RR1K,FALSE
A935740343,R400,FALSE
A935745795,RW23,FALSE
A935750283,RV24,FALSE
A935757075,V100,FALSE
A935774876,V600,FALSE
A935776375,VV78,FALSE
A935785403,V110,FALSE
A935787094,R100,FALSE
A935797439,R200,FALSE
A935807439,V600,FALSE
A935816534,RR1V,FALSE
A935819144,V800,FALSE
A935825662,Q300,FALSE
A935845741,R100,FALSE
A935846298,V100,FALSE
A935855636,V110,FALSE
A935860892,R200,FALSE
A935862139,Q820,FALSE
A935885910,V400,FALSE
A935891209,V800,FALSE
A935904897,RR14,FALSE
A935921584,V600,FALSE
A935923463,R200,FALSE
A935926589,T206,FALSE
A935949728,RR14,FALSE
A935957273,R100,FALSE
A935966910,V600,FALSE
A935970641,V100,FALSE
A935972885,V600,FALSE
A935973413,V600,FALSE
A935975130,V800,FALSE
A935978991,V100,FALSE
A935985069,V600,FALSE
A936008899,R200,FALSE
A936041416,R812,FALSE
A936071516,V100,FALSE
A936074182,W300,FALSE
A936082305,V110,FALSE
A936087539,V700,FALSE
A936097000,R200,FALSE
A936103297,V110,FALSE
A936112152,V100,FALSE
A936116921,W300,FALSE
A936122427,QQ83,FALSE
A936123789,R200,FALSE
A936126366,W300,FALSE
A936128717,RR12,FALSE
A936138875,V400,FALSE
A936155160,QV38,FALSE
A936157588,V110,FALSE
A936164829,QQ83,FALSE
A936186728,RR1V,FALSE
A936214814,QV36,FALSE
A936219093,R810,FALSE
A936229656,V110,FALSE
A936258025,VV78,FALSE
A936261689,Q820,FALSE
A936279433,RW23,FALSE
A936317355,T206,FALSE
A936333104,R400,FALSE
A936359252,RR14,FALSE
A936363190,R200,FALSE
A936363776,R400,FALSE
A936363938,V400,FALSE
A936387945,V100,FALSE
A936394448,RR2K,FALSE
A936400222,V700,FALSE
A936417677,V600,FALSE
A936444422,V800,FALSE
A936451796,V100,FALSE
A936455808,Q300,FALSE
A936458533,V700,FALSE
A936481416,W300,FALSE
A936482114,R400,FALSE
A936511768,Q300,FALSE
A936526315,V110,FALSE
A936532947,V100,FALSE
A936533748,V600,FALSE
A936535524,V100,FALSE
A936537034,V600,FALSE
A936559483,R400,FALSE
A936569976,VVC6,FALSE
A936577580,R100,FALSE
A936587659,Q300,FALSE
A936594473,RR1K,FALSE
A936594509,V100,FALSE
A936598518,V700,FALSE
A936607496,V110,FALSE
A936625043,VVC6,FALSE
A936633668,R400,FALSE
A936655039,V100,FALSE
A936661432,V600,FALSE
A936662831,Q300,FALSE
A936679840,Q300,FALSE
A936682057,R810,FALSE
A936686262,R200,FALSE
A936692702,W300,FALSE
A936718404,VV16,FALSE
A936746795,V100,FALSE
A936757469,V700,FALSE
A936793320,V400,FALSE
A936803205,V800,FALSE
A936810443,Q300,FALSE
A936855536,Q300,FALSE
A936858238,V600,FALSE
A936910710,V400,FALSE
A936916631,V110,FALSE
A936920904,W300,FALSE
A936922676,V600,FALSE
A936951182,Q300,FALSE
A936980562,R200,FALSE
A936983367,V400,FALSE
A937000678,V700,FALSE
A937054888,V400,FALSE
A937171288,V100,FALSE
A937193888,QV34,FALSE
A937200898,Q300,FALSE
A937218608,V100,FALSE
A937230378,V100,FALSE
A937238662,V600,FALSE
A937241008,V100,FALSE
A937246704,V100,FALSE
A937288885,V400,FALSE
A937322776,V700,FALSE
A937397833,RV24,FALSE
A937399468,Q300,FALSE
A937430163,Q300,FALSE
A937435652,Q802,FALSE
A937475924,V400,FALSE
A937549557,V600,FALSE
A937584732,V400,FALSE
A937588707,V800,FALSE
A937629756,T206,FALSE
A937641552,V400,FALSE
A937702163,V100,FALSE
A937740648,Q300,FALSE
A937769018,Q300,FALSE
A937782660,V700,FALSE
A937784435,QV34,FALSE
A937787676,V700,FALSE
A937822999,RR1K,FALSE
A937866812,Q300,FALSE
A937917055,RR1V,FALSE
A937928958,R100,FALSE
A938028572,R100,FALSE
A938107431,QV88,FALSE
A938120681,R100,FALSE
A938183402,V600,FALSE
A938208820,V700,FALSE
A938248664,Q300,FALSE
A938404134,R100,FALSE
A938443579,V600,FALSE
A938464024,V117,FALSE
A938473727,RT81,FALSE
A938500001,Q300,FALSE
A938526193,R100,FALSE
A938656700,RV24,FALSE
A938869791,RR18,FALSE
A938888770,R810,FALSE
A939833267,Q400,FALSE
A939833304,V600,FALSE
A939833382,V700,FALSE
A939833407,R400,FALSE
A939833418,V800,FALSE
A939833430,V800,FALSE
A939833441,V800,FALSE
A939833452,V800,FALSE
A939833463,Q300,FALSE
A939965719,Q300,FALSE
A939965742,V700,FALSE
A939965753,V600,FALSE
A939965764,V700,FALSE
A939965801,V806,FALSE
A939965812,V806,FALSE
A939965823,V806,FALSE
A939965845,V806,FALSE
A939965856,V806,FALSE
A939965867,V806,FALSE
A939965878,V806,FALSE
A939965889,V806,FALSE
A939965890,V806,FALSE
A939965904,V806,FALSE
A939965915,V806,FALSE
A939965926,V806,FALSE
A939965937,V806,FALSE
A939965948,V805,FALSE
A939965959,V805,FALSE
A939965960,V805,FALSE
A939965971,V805,FALSE
A939965982,V805,FALSE
A939966059,R400,FALSE
A939966060,V700,FALSE
A939966129,RR12,FALSE
A939966200,V600,FALSE
A939966222,V806,FALSE
A939966233,V400,FALSE
A939966244,V600,FALSE
A939966255,R810,FALSE
A939966288,V805,FALSE
A939966299,V805,FALSE
A939966303,V100,FALSE
A939968743,V100,FALSE
A939969739,V400,FALSE
A940001279,Q400,FALSE
A940001280,QQ34,FALSE
A940001316,V700,FALSE
A940001327,V700,FALSE
A940001394,V700,FALSE
A940001419,R400,FALSE
A940001822,Y300,FALSE
A940001844,Y300,FALSE
A940001855,Y300,FALSE
A940001866,Y300,FALSE
A940001877,Y300,FALSE
A940001925,Y300,FALSE
A940001947,Y300,FALSE
A940002210,Q304,FALSE
A940002221,Q304,FALSE
A940002232,Q304,FALSE
A940002243,Q304,FALSE
A940002254,Q304,FALSE
A940002461,Y300,FALSE
A940002472,Y300,FALSE
A940002483,Y300,FALSE
A940002494,Y300,FALSE
A940002508,Y300,FALSE
A940002645,Y300,FALSE
A940002678,Y300,FALSE
A940002689,Y300,FALSE
A940002690,Y300,FALSE
A940002704,Y300,FALSE
A940002715,Y300,FALSE
A940002793,Y300,FALSE
A940002807,Y300,FALSE
A940002818,Y300,FALSE
A940002829,Y300,FALSE
A940002830,Y300,FALSE
A940005716,V805,FALSE
A940005727,V805,FALSE
A940005738,V805,FALSE
A940005761,V806,FALSE
A940005772,V806,FALSE
A940005783,V806,FALSE
A940005842,V803,FALSE
A940005875,V806,FALSE
A940005886,V806,FALSE
A940005901,V806,FALSE
A940005923,V806,FALSE
A940005934,V806,FALSE
A940005945,V803,FALSE
A940005956,V806,FALSE
A940006241,Y300,FALSE
A940006252,Y300,FALSE
A940006274,Y300,FALSE
A940006285,Y300,FALSE
A940006296,Q304,FALSE
A940006300,Q304,FALSE
A940006322,Y300,FALSE
A940009297,Q811,FALSE
A940011119,R400,FALSE
A940011142,RR12,FALSE
A940011197,T206,FALSE
A940011289,Q300,FALSE
A940011348,V100,FALSE
A940011429,RR12,FALSE
A940011474,V800,FALSE
A940011533,RR18,FALSE
A940011555,Q300,FALSE
A940011603,R810,FALSE
A940011614,V700,FALSE
A940011636,V800,FALSE
A940011647,Q300,FALSE
