,Exam,Slot,roomAssigned,Room,Duration(mins),Priority Val,Conflicts,numStudents,Hall Capacity,Hall Status
12,B12301E1,0,TRUE,Kelvin Hall,120,872,4,16,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
13,B12302E1,0,TRUE,Bute,120,870,4,16,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
14,B12303E1,0,TRUE,Kelvin Hall,120,868,4,16,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
15,B12320E1,0,TRUE,Randolph,120,758,4,6,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
16,B13103E1,0,TRUE,Bute,120,156,2,8,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
17,B31101E1,0,TRUE,Bute,120,688,3,107,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
18,B31103E1,0,TRUE,Kelvin Hall,120,686,3,107,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
19,B31105E1,0,TRUE,Hunter West,60,684,3,107,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
20,B31107E1,0,TRUE,Bute,120,690,3,108,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
21,B32321E1,0,TRUE,Hunter West,60,1230,4,119,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
22,B32322E1,0,TRUE,Hunter West,60,1208,4,110,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
23,B32325E1,0,TRUE,Hunter East,120,1214,4,110,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
24,B32326E1,0,TRUE,Kelvin Hall,60,1206,4,110,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
25,B32327E1,0,TRUE,Kelvin Hall,120,1212,4,110,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
26,B33541E1,0,TRUE,Hunter East,60,1170,4,93,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
27,B33544E1,0,TRUE,Kelvin Hall,60,1168,4,93,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
28,B33545E1,0,TRUE,Bute,120,1174,4,93,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
29,B33548E1,0,TRUE,Kelvin Hall,60,1166,4,93,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
30,B33549E1,0,TRUE,Hunter West,120,1172,4,93,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
31,B33563E1,0,TRUE,Bute,60,1342,5,18,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
32,C11101E1,1,TRUE,Kelvin Gallery,120,286,2,145,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
33,C11105E1,1,TRUE,Bute,120,288,2,163,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
34,C12321E1,1,TRUE,Randolph,120,654,3,68,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
35,C12324E1,1,TRUE,Kelvin Hall,120,634,3,63,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
36,C12325E1,1,TRUE,Senate,90,626,3,62,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
37,C12327E1,1,TRUE,Randolph,120,1086,4,58,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
38,C12328E1,1,TRUE,Randolph,90,998,4,32,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
39,C12329E1,1,TRUE,Randolph,90,808,4,11,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
40,C12331E1,1,TRUE,Kelvin Hall,90,838,4,14,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
41,C12332E1,1,TRUE,Kelvin Hall,180,602,3,48,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
42,C12333E1,1,TRUE,Senate,90,850,4,15,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
43,C12338E1,1,TRUE,Randolph,120,1080,4,57,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
44,C13562E1,1,TRUE,Bute,180,86,1,33,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
45,C13563E1,1,TRUE,Bute,180,770,4,7,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
46,C13564E1,1,TRUE,Fore,180,94,1,39,64,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
47,C13565E1,1,TRUE,Randolph,180,200,2,19,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
48,C13567E1,1,TRUE,Senate,180,68,1,17,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
49,C13569E1,1,TRUE,Randolph,180,70,1,19,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
50,C13571E1,1,TRUE,Bute,90,150,2,8,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
51,C13572E1,1,TRUE,WILTF,90,146,2,7,60,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
52,C13573E1,1,TRUE,Fore,180,208,2,20,64,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
53,C1P001E1,1,TRUE,WILT 112,120,40,1,6,50,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, False, True, True]"
54,C41101E1,1,TRUE,Hunter West,120,680,3,102,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
55,C42304E1,1,TRUE,Senate,120,1104,4,63,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
56,C42306E1,1,TRUE,Randolph,120,1098,4,62,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
57,C42307E1,1,TRUE,Randolph,120,1014,4,37,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
58,C43511E1,1,TRUE,Senate,180,92,1,38,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
59,C43512E1,1,TRUE,OTC,180,76,1,24,110,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
60,C52303E1,1,TRUE,Randolph,120,394,3,12,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
61,C71101E1,1,TRUE,Kelvin Hall,120,290,2,205,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
62,C72303E1,1,TRUE,Bute,180,250,2,50,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
63,C73507E1,1,TRUE,Kelvin Gallery,180,568,3,40,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
64,C81HAAE1,1,TRUE,Senate,60,1362,5,23,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
65,C81HBAE1,1,TRUE,Hunter West,60,1526,5,121,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
66,C81HCAE1,1,TRUE,Hunter West,60,1528,5,126,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
67,C81HDAE1,1,TRUE,Bute,60,1524,5,121,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
68,C81IAAE1,1,TRUE,Randolph,60,1118,4,67,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
69,C81IBAE1,1,TRUE,Bute,60,946,4,25,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
70,C81ICAE1,1,TRUE,Randolph,60,1060,4,50,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
71,C81IDAE1,1,TRUE,Senate,60,1072,4,54,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
72,C81J1AE1,1,TRUE,Randolph,60,300,3,1,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
73,C81J1AE2,1,TRUE,Bute,60,298,3,1,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
74,C81J2AE1,1,TRUE,Hunter West,60,442,3,18,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
75,C81J2AE2,1,TRUE,Bute,60,440,3,18,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
76,C81J3AE1,1,TRUE,Randolph,60,752,4,6,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
77,C81J3AE2,1,TRUE,Hunter East,60,750,4,6,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
78,C81J4AE1,1,TRUE,Hunter East,60,352,3,9,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
79,C81J4AE2,2,TRUE,Hunter East,60,350,3,9,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
80,C81J5AE1,2,TRUE,Senate,60,398,3,13,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
81,C81J5AE2,2,TRUE,Bute,60,396,3,13,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
82,C81JIAE1,2,TRUE,Senate,60,296,3,1,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
83,C81JIAE2,2,TRUE,Randolph,60,294,3,1,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
84,C81MJAE1,2,TRUE,Kelvin Hall,60,1536,6,6,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
85,C81MSAE1,2,TRUE,Kelvin Hall,60,1520,5,113,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
86,C82BCSE1,2,TRUE,Fore,60,1270,5,4,64,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
87,C82BUAE1,2,TRUE,Bute,120,676,3,97,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
88,C82CUAE1,2,TRUE,Bute,120,670,3,95,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
89,C82DUAE1,2,TRUE,Randolph,60,1312,5,12,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
90,C82HUAE1,2,TRUE,Senate,60,1310,5,12,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
91,C82MCPE1,2,TRUE,St Andrews Gym Hall,60,1538,6,11,110,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
92,C82MHAE1,2,TRUE,Hunter West,120,656,3,75,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
93,C82MJAE1,2,TRUE,WILTF,120,582,3,42,60,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
94,C82OUAE1,2,TRUE,Kelvin Hall,60,1266,5,3,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
95,C82SUAE1,2,TRUE,Bute,60,1334,5,16,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
96,C83XWHE1,2,TRUE,Fore,120,460,3,20,64,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
97,C8COUAE1,2,TRUE,Senate,120,90,1,37,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
98,C8CXCEE1,2,TRUE,Hunter East,120,194,2,16,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
99,C8CXCHE1,2,TRUE,Hunter East,120,10,0,20,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
100,C8CXDLE1,2,TRUE,Fore,120,140,2,5,64,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
101,C8CXESE1,2,TRUE,Sir Charles Wilson,120,1306,5,11,60,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True]"
102,C8CXPAE1,2,TRUE,Kelvin Gallery,90,1344,5,19,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
103,C8P001E1,2,TRUE,Fore,180,476,3,22,64,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
104,C8P002E1,2,TRUE,Hunter East,180,474,3,22,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
105,D21102E1,2,TRUE,Senate,60,720,4,1,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
106,D22227E1,2,TRUE,Randolph,120,726,4,1,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
107,D23315E1,2,TRUE,Fore,120,30,1,4,64,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
108,D23336E1,2,TRUE,WILTF,120,42,1,7,60,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
109,D23342E1,2,TRUE,Hunter East,120,724,4,1,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
110,D23360E1,2,TRUE,WILT 112,120,50,1,8,50,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, False, True, True]"
111,EN00C1E1,2,TRUE,Fore,120,1546,6,18,64,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
112,EN00P1E1,2,TRUE,OTC,120,1352,5,21,110,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
113,EN00P3E1,2,TRUE,Senate,120,1374,5,25,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
114,EN00P5E1,3,TRUE,Kelvin Gallery,120,1380,5,26,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
115,EN00P7E1,3,TRUE,James Watt Design Studio A,120,1358,5,22,54,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True]"
116,F11I01E1,3,TRUE,Hunter West,60,1512,5,109,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
117,F11I02E1,3,TRUE,Kelvin Gallery,120,1210,4,110,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
118,F11O01E1,3,TRUE,Hunter West,60,1508,5,108,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
119,F11O02E1,3,TRUE,Bute,120,1218,4,112,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
120,F11P01E1,3,TRUE,OTC,60,1486,5,88,110,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
121,F11P02E1,3,TRUE,Hunter West,120,1238,4,129,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
122,F12I01E1,3,TRUE,Fore,60,452,3,20,64,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
123,F12I02E1,3,TRUE,Kelvin Gallery,120,698,3,122,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
124,F12O01E1,3,TRUE,WILTF,120,458,3,20,60,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
125,F12P01E1,3,TRUE,James Watt Design Studio B,60,450,3,20,69,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
126,F12P02E1,4,TRUE,Kelvin Gallery,120,696,3,122,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
127,F12P03E1,4,TRUE,Kelvin Gallery,120,362,3,9,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
128,F12X02E1,4,TRUE,Senate,120,644,3,65,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
129,F12X04E1,4,TRUE,Rankine 629,90,1290,5,9,53,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True]"
130,F12X04E2,4,TRUE,St Andrews Gym Hall,90,1288,5,9,110,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
131,F12X04E3,4,TRUE,Hunter East,90,1286,5,9,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
132,F12X05E1,4,TRUE,Randolph,120,360,3,9,85,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
133,F13I01E1,4,TRUE,WILTF,60,526,3,30,60,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
134,F13I02E1,4,TRUE,OTC,120,1196,4,103,110,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
135,F13I03E1,4,TRUE,Fore,60,1542,6,15,64,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
136,F13I05E1,4,TRUE,WILTF,60,718,4,1,60,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
137,F13I06E1,4,TRUE,Hunter West,60,716,4,1,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
138,F13O01E1,4,TRUE,Sir Charles Wilson,120,524,3,29,60,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True]"
139,F13O02E1,4,TRUE,OTC,120,1194,4,103,110,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
140,F13O03E1,4,TRUE,Hunter East,60,1540,6,15,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
141,F13O06E1,4,TRUE,Kelvin Hall,60,1262,5,1,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
142,F13P02E1,4,TRUE,Senate,120,380,3,11,80,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
143,F13P03E1,4,TRUE,Bute,60,590,3,44,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
144,F13P05E1,4,TRUE,Kelvin Gallery,60,1280,5,8,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
145,F13X01E1,4,TRUE,WILT 112,120,378,3,11,50,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, False, True, True]"
146,F13X03E1,4,TRUE,Kelvin Gallery,60,1544,6,18,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
147,F13X04E1,4,TRUE,OTC,120,664,3,86,110,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
148,F311A1E1,4,TRUE,WILTF,60,1586,8,52,60,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
149,F311B1E1,4,TRUE,Hunter West,60,1582,8,43,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
150,F311E1E1,4,TRUE,Hunter West,60,1590,8,106,195,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
151,F311M0E1,4,TRUE,OTC,60,1588,8,103,110,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
152,F311V1E1,4,TRUE,WILTF,60,1584,8,47,60,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
