,student_code,exam_code,slot_index,day,type,duration,total_students,rooms,rooms_capacity
62,A913232907,R13021E1,24,Thursday,Evening,01:30,26,['Kelvin Hall'],[500]
63,A913232907,R43204E1,19,Wednesday,Morning,01:45,15,['Kelvin Gallery'],[230]
64,A913354634,R13003E1,4,Thursday,Morning,01:30,28,['Kelvin Gallery'],[230]
65,A913354634,R13016E1,14,Monday,Afternoon,02:00,19,['Kelvin Hall'],[500]
66,A913354634,R4B107E1,11,Saturday,Afternoon,01:30,11,['Senate'],[80]
67,A913356122,R23102E1,11,Saturday,Afternoon,02:00,18,['Sir Charles Wilson'],[60]
68,A913356122,R23111E1,15,Monday,Evening,01:30,22,['Gilbert Scott Conf Suite Rm 253'],[40]
69,A913356122,R23117E1,1,Wednesday,Morning,01:30,24,['St Andrews Rm 234'],[40]
70,A913356122,R23209E1,4,Thursday,Morning,01:30,17,['Adam Smith 915'],[26]
71,A913360369,R13011E1,22,Thursday,Morning,02:00,21,"['Randolph', 'St Andrews Rm 234']","[85, 40]"
72,A913360369,R13021E1,24,Thursday,Evening,01:30,26,['Kelvin Hall'],[500]
73,A913360369,R13023E1,18,Tuesday,Evening,01:30,14,['Adam Smith 915'],[26]
74,A913360369,R23104E1,11,Saturday,Afternoon,02:00,32,['St Andrews Rm 234'],[40]
75,A913360369,R23117E1,1,Wednesday,Morning,01:30,24,['St Andrews Rm 234'],[40]
76,A913455344,R13005E1,2,Wednesday,Afternoon,01:30,27,['Rankine 601'],[37]
77,A913455344,R13011E1,22,Thursday,Morning,02:00,21,"['Randolph', 'St Andrews Rm 234']","[85, 40]"
78,A913455344,R43204E1,19,Wednesday,Morning,01:45,15,['Kelvin Gallery'],[230]
79,A913498824,R13001E1,11,Saturday,Afternoon,01:30,36,"['John McIntyre Rm 208', 'Senate']","[40, 80]"
80,A913498824,R13012E1,7,Friday,Morning,01:30,26,['Bute'],[230]
81,A913498824,R13016E1,14,Monday,Afternoon,02:00,19,['Kelvin Hall'],[500]
82,A913498824,R13021E1,24,Thursday,Evening,01:30,26,['Kelvin Hall'],[500]
83,A913498824,R13022E1,20,Wednesday,Afternoon,01:30,19,"['St Andrews Gym Hall', 'Kelvin Hall']","[110, 500]"
84,A913543076,R13001E1,11,Saturday,Afternoon,01:30,36,"['John McIntyre Rm 208', 'Senate']","[40, 80]"
85,A913543076,R13003E1,4,Thursday,Morning,01:30,28,['Kelvin Gallery'],[230]
86,A913543076,R13012E1,7,Friday,Morning,01:30,26,['Bute'],[230]
87,A913543076,R13021E1,24,Thursday,Evening,01:30,26,['Kelvin Hall'],[500]
88,A913564392,R13005E1,2,Wednesday,Afternoon,01:30,27,['Rankine 601'],[37]
89,A913564392,R13022E1,20,Wednesday,Afternoon,01:30,19,"['St Andrews Gym Hall', 'Kelvin Hall']","[110, 500]"
90,A913564392,R43152E1,25,Friday,Morning,02:00,4,['Gilbert Scott Conf Suite Rm 251'],[15]
91,A913568149,Q83142E1,1,Wednesday,Morning,02:00,13,['Fore'],[64]
92,A913568149,Q8B094E1,13,Monday,Morning,02:00,42,['Fore'],[64]
93,A913568149,V6B336E1,4,Thursday,Morning,01:30,24,['Kelvin Gallery'],[230]
94,A913569009,R13022E1,20,Wednesday,Afternoon,01:30,19,"['St Andrews Gym Hall', 'Kelvin Hall']","[110, 500]"
95,A913569009,R83038E1,16,Tuesday,Morning,02:00,32,['Gilbert Scott Conf Suite Rm 253'],[40]
96,A913569009,R83043E1,5,Thursday,Afternoon,02:00,25,['Adam Smith 915'],[26]
97,A913569009,R83052E1,27,Friday,Evening,01:00,23,['WILT 112'],[50]
98,A913759105,R13022E1,20,Wednesday,Afternoon,01:30,19,"['St Andrews Gym Hall', 'Kelvin Hall']","[110, 500]"
99,A913759105,R13023E1,18,Tuesday,Evening,01:30,14,['Adam Smith 915'],[26]
100,A913759105,R83038E1,16,Tuesday,Morning,02:00,32,['Gilbert Scott Conf Suite Rm 253'],[40]
101,A913759105,R83043E1,5,Thursday,Afternoon,02:00,25,['Adam Smith 915'],[26]
102,A913759105,R83052E1,27,Friday,Evening,01:00,23,['WILT 112'],[50]
103,A913765265,R13003E1,4,Thursday,Morning,01:30,28,['Kelvin Gallery'],[230]
104,A913765265,R13011E1,22,Thursday,Morning,02:00,21,"['Randolph', 'St Andrews Rm 234']","[85, 40]"
105,A913765265,R83038E1,16,Tuesday,Morning,02:00,32,['Gilbert Scott Conf Suite Rm 253'],[40]
106,A913765265,R83044E1,14,Monday,Afternoon,02:00,9,['James Watt Design Studio A'],[54]
107,A913765265,R83052E1,27,Friday,Evening,01:00,23,['WILT 112'],[50]
108,A913841215,R13001E1,11,Saturday,Afternoon,01:30,36,"['John McIntyre Rm 208', 'Senate']","[40, 80]"
109,A913841215,R13012E1,7,Friday,Morning,01:30,26,['Bute'],[230]
110,A913841215,R13015E1,4,Thursday,Morning,02:00,9,"['WILTF', 'Fore']","[60, 64]"
111,A913841215,R13016E1,14,Monday,Afternoon,02:00,19,['Kelvin Hall'],[500]
112,A914123099,V13105E1,18,Tuesday,Evening,01:30,8,['Gilbert Scott Conf Suite Rm 250'],[40]
113,A914123099,V13111E1,21,Wednesday,Evening,01:00,13,['Kelvin Hall'],[500]
114,A914247096,LK10SAE1,23,Thursday,Afternoon,01:00,74,['OTC'],[110]
115,A914247096,R23102E1,11,Saturday,Afternoon,02:00,18,['Sir Charles Wilson'],[60]
116,A914247096,R23111E1,15,Monday,Evening,01:30,22,['Gilbert Scott Conf Suite Rm 253'],[40]
117,A914247096,R23209E1,4,Thursday,Morning,01:30,17,['Adam Smith 915'],[26]
118,A914247096,R23216E1,8,Friday,Afternoon,01:30,11,['Senate'],[80]
119,A914329185,R13003E1,4,Thursday,Morning,01:30,28,['Kelvin Gallery'],[230]
120,A914329185,R13011E1,22,Thursday,Morning,02:00,21,"['Randolph', 'St Andrews Rm 234']","[85, 40]"
121,A914329185,R43204E1,19,Wednesday,Morning,01:45,15,['Kelvin Gallery'],[230]
122,A914581118,AA3008E1,14,Monday,Afternoon,03:00,31,['John McIntyre Rm 208'],[40]
123,A914581118,R43153E1,2,Wednesday,Afternoon,02:00,2,['Kelvin Hall'],[500]
124,A914581118,R43204E1,19,Wednesday,Morning,01:45,15,['Kelvin Gallery'],[230]
125,A914722179,R82028E1,13,Monday,Morning,01:30,10,['Joseph Black A504'],[25]
126,A914722179,R83036E1,11,Saturday,Afternoon,03:00,12,['James Watt Design Studio B'],[69]
127,A914722179,R83038E1,16,Tuesday,Morning,02:00,32,['Gilbert Scott Conf Suite Rm 253'],[40]
128,A914722179,R83043E1,5,Thursday,Afternoon,02:00,25,['Adam Smith 915'],[26]
129,A914722179,R83046E1,1,Wednesday,Morning,01:30,18,['Hunter West'],[195]
130,A914722179,R83052E1,27,Friday,Evening,01:00,23,['WILT 112'],[50]
131,A914812735,R23102E1,11,Saturday,Afternoon,02:00,18,['Sir Charles Wilson'],[60]
132,A914812735,R23107E1,20,Wednesday,Afternoon,01:30,12,['Fore'],[64]
133,A914812735,R23117E1,1,Wednesday,Morning,01:30,24,['St Andrews Rm 234'],[40]
134,A914812735,R23209E1,4,Thursday,Morning,01:30,17,['Adam Smith 915'],[26]
135,A914812735,R42103E1,23,Thursday,Afternoon,01:30,36,['Rankine 601'],[37]
136,A915104002,R83038E1,16,Tuesday,Morning,02:00,32,['Gilbert Scott Conf Suite Rm 253'],[40]
137,A915104002,R83043E1,5,Thursday,Afternoon,02:00,25,['Adam Smith 915'],[26]
138,A915104002,R83046E1,1,Wednesday,Morning,01:30,18,['Hunter West'],[195]
139,A916010131,R13001E1,11,Saturday,Afternoon,01:30,36,"['John McIntyre Rm 208', 'Senate']","[40, 80]"
140,A916010131,R13003E1,4,Thursday,Morning,01:30,28,['Kelvin Gallery'],[230]
141,A916010131,R13005E1,2,Wednesday,Afternoon,01:30,27,['Rankine 601'],[37]
142,A916010131,R13014E1,6,Thursday,Evening,01:30,11,['Gilbert Scott Conf Suite Rm 250'],[40]
143,A916010131,R13022E1,20,Wednesday,Afternoon,01:30,19,"['St Andrews Gym Hall', 'Kelvin Hall']","[110, 500]"
144,A916010429,R13017E1,22,Thursday,Morning,02:00,11,['Rankine 629'],[53]
145,A916010429,R83038E1,16,Tuesday,Morning,02:00,32,['Gilbert Scott Conf Suite Rm 253'],[40]
146,A916010429,R83043E1,5,Thursday,Afternoon,02:00,25,['Adam Smith 915'],[26]
147,A916010429,R83046E1,1,Wednesday,Morning,01:30,18,['Hunter West'],[195]
148,A916035916,R82028E1,13,Monday,Morning,01:30,10,['Joseph Black A504'],[25]
149,A916035916,R83036E1,11,Saturday,Afternoon,03:00,12,['James Watt Design Studio B'],[69]
150,A916035916,R83038E1,16,Tuesday,Morning,02:00,32,['Gilbert Scott Conf Suite Rm 253'],[40]
151,A916035916,R83051E1,22,Thursday,Morning,01:00,11,['OTC'],[110]
152,A916035916,R83052E1,27,Friday,Evening,01:00,23,['WILT 112'],[50]
153,A916037161,R13005E1,2,Wednesday,Afternoon,01:30,27,['Rankine 601'],[37]
154,A916037161,R13044E1,19,Wednesday,Morning,02:00,6,['Bute'],[230]
155,A916037161,R83038E1,16,Tuesday,Morning,02:00,32,['Gilbert Scott Conf Suite Rm 253'],[40]
156,A916037161,R83043E1,5,Thursday,Afternoon,02:00,25,['Adam Smith 915'],[26]
157,A916037161,R83051E1,22,Thursday,Morning,01:00,11,['OTC'],[110]
158,A916037437,R13012E1,7,Friday,Morning,01:30,26,['Bute'],[230]
159,A916037437,R13022E1,20,Wednesday,Afternoon,01:30,19,"['St Andrews Gym Hall', 'Kelvin Hall']","[110, 500]"
160,A916037437,R23009E1,27,Friday,Evening,01:30,10,['Kelvin Gallery'],[230]
161,A916037437,R23104E1,11,Saturday,Afternoon,02:00,32,['St Andrews Rm 234'],[40]
162,A916037437,R23209E1,4,Thursday,Morning,01:30,17,['Adam Smith 915'],[26]
163,A916045878,R13003E1,4,Thursday,Morning,01:30,28,['Kelvin Gallery'],[230]
164,A916045878,R13016E1,14,Monday,Afternoon,02:00,19,['Kelvin Hall'],[500]
165,A916045878,R23104E1,11,Saturday,Afternoon,02:00,32,['St Andrews Rm 234'],[40]
166,A916045878,R23105E1,8,Friday,Afternoon,01:30,7,['John McIntyre Rm 201'],[100]
167,A916045878,R23106E1,22,Thursday,Morning,01:30,7,['Gilbert Scott Conf Suite Rm 251'],[15]
168,A916048581,R23102E1,11,Saturday,Afternoon,02:00,18,['Sir Charles Wilson'],[60]
169,A916048581,R23105E1,8,Friday,Afternoon,01:30,7,['John McIntyre Rm 201'],[100]
170,A916048581,R23106E1,22,Thursday,Morning,01:30,7,['Gilbert Scott Conf Suite Rm 251'],[15]
171,A916048581,R23111E1,15,Monday,Evening,01:30,22,['Gilbert Scott Conf Suite Rm 253'],[40]
172,A916055394,R13022E1,20,Wednesday,Afternoon,01:30,19,"['St Andrews Gym Hall', 'Kelvin Hall']","[110, 500]"
173,A916064813,R23102E1,11,Saturday,Afternoon,02:00,18,['Sir Charles Wilson'],[60]
174,A916064813,R23111E1,15,Monday,Evening,01:30,22,['Gilbert Scott Conf Suite Rm 253'],[40]
175,A916064813,R23117E1,1,Wednesday,Morning,01:30,24,['St Andrews Rm 234'],[40]
176,A916064813,R23209E1,4,Thursday,Morning,01:30,17,['Adam Smith 915'],[26]
177,A916064813,R23216E1,8,Friday,Afternoon,01:30,11,['Senate'],[80]
178,A916075004,R13001E1,11,Saturday,Afternoon,01:30,36,"['John McIntyre Rm 208', 'Senate']","[40, 80]"
179,A916075004,R13007E1,26,Friday,Afternoon,02:00,20,['St Andrews Rm 234'],[40]
180,A916075004,R13015E1,4,Thursday,Morning,02:00,9,"['WILTF', 'Fore']","[60, 64]"
181,A916075004,R13017E1,22,Thursday,Morning,02:00,11,['Rankine 629'],[53]
182,A916075004,R13021E1,24,Thursday,Evening,01:30,26,['Kelvin Hall'],[500]
183,A916084626,R13011E1,22,Thursday,Morning,02:00,21,"['Randolph', 'St Andrews Rm 234']","[85, 40]"
184,A916084626,R13016E1,14,Monday,Afternoon,02:00,19,['Kelvin Hall'],[500]
185,A916084626,R13023E1,18,Tuesday,Evening,01:30,14,['Adam Smith 915'],[26]
186,A916085999,R13001E1,11,Saturday,Afternoon,01:30,36,"['John McIntyre Rm 208', 'Senate']","[40, 80]"
187,A916085999,R13005E1,2,Wednesday,Afternoon,01:30,27,['Rankine 601'],[37]
188,A916085999,R13007E1,26,Friday,Afternoon,02:00,20,['St Andrews Rm 234'],[40]
189,A916085999,R13014E1,6,Thursday,Evening,01:30,11,['Gilbert Scott Conf Suite Rm 250'],[40]
190,A916085999,R13016E1,14,Monday,Afternoon,02:00,19,['Kelvin Hall'],[500]
191,A916094360,R13011E1,22,Thursday,Morning,02:00,21,"['Randolph', 'St Andrews Rm 234']","[85, 40]"
192,A916094360,R13016E1,14,Monday,Afternoon,02:00,19,['Kelvin Hall'],[500]
193,A916094360,R43204E1,19,Wednesday,Morning,01:45,15,['Kelvin Gallery'],[230]
194,A916094360,R4B107E1,11,Saturday,Afternoon,01:30,11,['Senate'],[80]
195,A916124911,R13001E1,11,Saturday,Afternoon,01:30,36,"['John McIntyre Rm 208', 'Senate']","[40, 80]"
196,A916124911,R13003E1,4,Thursday,Morning,01:30,28,['Kelvin Gallery'],[230]
197,A916124911,R13005E1,2,Wednesday,Afternoon,01:30,27,['Rankine 601'],[37]
198,A916124911,R13021E1,24,Thursday,Evening,01:30,26,['Kelvin Hall'],[500]
199,A916129891,R13014E1,6,Thursday,Evening,01:30,11,['Gilbert Scott Conf Suite Rm 250'],[40]
200,A916129891,R13023E1,18,Tuesday,Evening,01:30,14,['Adam Smith 915'],[26]
201,A916129891,R83038E1,16,Tuesday,Morning,02:00,32,['Gilbert Scott Conf Suite Rm 253'],[40]
202,A916129891,R83044E1,14,Monday,Afternoon,02:00,9,['James Watt Design Studio A'],[54]
203,A916129891,R83052E1,27,Friday,Evening,01:00,23,['WILT 112'],[50]
204,A916131997,M12365E1,2,Wednesday,Afternoon,02:00,41,['Senate'],[80]
205,A916131997,M1B351E1,16,Tuesday,Morning,01:30,11,['Joseph Black A504'],[25]
206,A916131997,R13012E1,7,Friday,Morning,01:30,26,['Bute'],[230]
207,A916148641,R13044E1,19,Wednesday,Morning,02:00,6,['Bute'],[230]
208,A916148641,R23104E1,11,Saturday,Afternoon,02:00,32,['St Andrews Rm 234'],[40]
209,A916148641,R23106E1,22,Thursday,Morning,01:30,7,['Gilbert Scott Conf Suite Rm 251'],[15]
210,A916153531,R13021E1,24,Thursday,Evening,01:30,26,['Kelvin Hall'],[500]
211,A916153531,R43149E1,1,Wednesday,Morning,02:00,8,['St Andrews Rm 227 '],[50]
212,A916154413,R23104E1,11,Saturday,Afternoon,02:00,32,['St Andrews Rm 234'],[40]
213,A916154413,R23209E1,4,Thursday,Morning,01:30,17,['Adam Smith 915'],[26]
214,A916154413,V13163E1,25,Friday,Morning,02:00,3,['Gilbert Scott Conf Suite Rm 356'],[40]
215,A916163264,R13007E1,26,Friday,Afternoon,02:00,20,['St Andrews Rm 234'],[40]
216,A916163264,R23104E1,11,Saturday,Afternoon,02:00,32,['St Andrews Rm 234'],[40]
217,A916163264,R23105E1,8,Friday,Afternoon,01:30,7,['John McIntyre Rm 201'],[100]
218,A916163264,R23106E1,22,Thursday,Morning,01:30,7,['Gilbert Scott Conf Suite Rm 251'],[15]
219,A916183837,R13015E1,4,Thursday,Morning,02:00,9,"['WILTF', 'Fore']","[60, 64]"
220,A916183837,R43204E1,19,Wednesday,Morning,01:45,15,['Kelvin Gallery'],[230]
221,A916192666,R13007E1,26,Friday,Afternoon,02:00,20,['St Andrews Rm 234'],[40]
222,A916192666,R13022E1,20,Wednesday,Afternoon,01:30,19,"['St Andrews Gym Hall', 'Kelvin Hall']","[110, 500]"
223,A916192666,R4B107E1,11,Saturday,Afternoon,01:30,11,['Senate'],[80]
224,A916193113,R13012E1,7,Friday,Morning,01:30,26,['Bute'],[230]
225,A916193113,V13173E1,17,Tuesday,Afternoon,02:00,4,['Gilbert Scott Conf Suite Rm 250'],[40]
226,A916193113,V13214E1,11,Saturday,Afternoon,02:00,16,['Fore'],[64]
227,A916194408,V6B302E1,16,Tuesday,Morning,01:30,43,['Kelvin Blg Rm 323/324'],[50]
228,A916194408,V6B306E1,11,Saturday,Afternoon,01:30,16,['Hunter East'],[195]
229,A916194408,V6B307E1,22,Thursday,Morning,01:30,15,['Rankine 630'],[55]
230,A916194408,V6B308E1,8,Friday,Afternoon,01:30,18,['OTC'],[110]
231,A916206620,L3B049E1,19,Wednesday,Morning,01:30,35,['St Andrews Rm 227 '],[50]
232,A916206620,Q33211E1,15,Monday,Evening,01:30,56,['Fore'],[64]
233,A916206620,Q33307E1,17,Tuesday,Afternoon,02:00,51,['James Watt Design Studio B'],[69]
234,A916206620,Q33308E1,23,Thursday,Afternoon,03:00,48,"['OTC', 'Fore']","[110, 64]"
235,A916206620,Q81001E1,13,Monday,Morning,02:00,100,['Bute'],[230]
236,A916214865,R13021E1,24,Thursday,Evening,01:30,26,['Kelvin Hall'],[500]
237,A916214865,V43117E1,14,Monday,Afternoon,02:00,6,['Rankine 601'],[37]
238,A916214865,V43124E1,7,Friday,Morning,02:00,28,['Rankine 630'],[55]
239,A916214865,V43133E1,9,Friday,Evening,01:00,22,['James Watt Design Studio A'],[54]
240,A916214865,V43239E1,17,Tuesday,Afternoon,01:00,17,['John McIntyre Rm 201'],[100]
241,A916215183,R23102E1,11,Saturday,Afternoon,02:00,18,['Sir Charles Wilson'],[60]
242,A916215183,R23111E1,15,Monday,Evening,01:30,22,['Gilbert Scott Conf Suite Rm 253'],[40]
243,A916215183,R23117E1,1,Wednesday,Morning,01:30,24,['St Andrews Rm 234'],[40]
244,A916215183,R23216E1,8,Friday,Afternoon,01:30,11,['Senate'],[80]
245,A916215529,R13003E1,4,Thursday,Morning,01:30,28,['Kelvin Gallery'],[230]
246,A916215529,R13021E1,24,Thursday,Evening,01:30,26,['Kelvin Hall'],[500]
247,A916215529,R23009E1,27,Friday,Evening,01:30,10,['Kelvin Gallery'],[230]
248,A916215529,R23104E1,11,Saturday,Afternoon,02:00,32,['St Andrews Rm 234'],[40]
249,A916215529,R23117E1,1,Wednesday,Morning,01:30,24,['St Andrews Rm 234'],[40]
250,A916228127,R13012E1,7,Friday,Morning,01:30,26,['Bute'],[230]
251,A916228127,R13021E1,24,Thursday,Evening,01:30,26,['Kelvin Hall'],[500]
252,A916228127,R43149E1,1,Wednesday,Morning,02:00,8,['St Andrews Rm 227 '],[50]
253,A916228127,R43204E1,19,Wednesday,Morning,01:45,15,['Kelvin Gallery'],[230]
254,A916229157,V6B306E1,11,Saturday,Afternoon,01:30,16,['Hunter East'],[195]
255,A916229157,V6B307E1,22,Thursday,Morning,01:30,15,['Rankine 630'],[55]
256,A916229157,V6B333E1,25,Friday,Morning,01:30,5,['WILTF'],[60]
257,A916233707,Q13013E1,7,Friday,Morning,01:30,1,['Rankine 601'],[37]
258,A916233707,Q13017E1,27,Friday,Evening,01:30,2,['Kelvin Gallery'],[230]
259,A916233707,R13003E1,4,Thursday,Morning,01:30,28,['Kelvin Gallery'],[230]
260,A916233707,R13011E1,22,Thursday,Morning,02:00,21,"['Randolph', 'St Andrews Rm 234']","[85, 40]"
261,A916239983,Q82028E1,4,Thursday,Morning,01:30,6,['James Watt Design Studio B'],[69]
262,A916239983,Q83144E1,19,Wednesday,Morning,01:00,6,"['Adam Smith 915', 'St Andrews Rm 237']","[26, 30]"
263,A916240440,R13001E1,11,Saturday,Afternoon,01:30,36,"['John McIntyre Rm 208', 'Senate']","[40, 80]"
264,A916240440,R13003E1,4,Thursday,Morning,01:30,28,['Kelvin Gallery'],[230]
265,A916240440,R13005E1,2,Wednesday,Afternoon,01:30,27,['Rankine 601'],[37]
266,A916240440,R13011E1,22,Thursday,Morning,02:00,21,"['Randolph', 'St Andrews Rm 234']","[85, 40]"
267,A916240440,R13044E1,19,Wednesday,Morning,02:00,6,['Bute'],[230]
268,A916242916,R13001E1,11,Saturday,Afternoon,01:30,36,"['John McIntyre Rm 208', 'Senate']","[40, 80]"
269,A916242916,R13007E1,26,Friday,Afternoon,02:00,20,['St Andrews Rm 234'],[40]
270,A916242916,R13011E1,22,Thursday,Morning,02:00,21,"['Randolph', 'St Andrews Rm 234']","[85, 40]"
271,A916242916,R13021E1,24,Thursday,Evening,01:30,26,['Kelvin Hall'],[500]
272,A916243843,M13369E1,22,Thursday,Morning,02:00,41,"['John McIntyre Rm 201', 'Senate']","[100, 80]"
273,A916243843,M1B373E1,25,Friday,Morning,02:00,34,['St Andrews Rm 227 '],[50]
274,A916243843,R23104E1,11,Saturday,Afternoon,02:00,32,['St Andrews Rm 234'],[40]
275,A916243843,R23111E1,15,Monday,Evening,01:30,22,['Gilbert Scott Conf Suite Rm 253'],[40]
276,A916243843,R23216E1,8,Friday,Afternoon,01:30,11,['Senate'],[80]
277,A916248103,R23104E1,11,Saturday,Afternoon,02:00,32,['St Andrews Rm 234'],[40]
278,A916248103,R23107E1,20,Wednesday,Afternoon,01:30,12,['Fore'],[64]
279,A916248103,R23117E1,1,Wednesday,Morning,01:30,24,['St Andrews Rm 234'],[40]
