,0,1,2,3,4,5,6,7,8,9
42,C13563E1,2,True,Gilbert Scott Conf Suite Rm 253,180,770.0,4,7,40,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
43,C13564E1,22,True,Gilbert Scott Conf Suite Rm 356,180,94.0,1,39,40,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
44,C13571E1,24,True,Rankine 630,90,150.0,2,8,55,"[True, True, True, True, False, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
45,C13572E1,17,True,James Watt Design Studio A,90,146.0,2,7,54,"[True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
46,C13573E1,2,True,James Watt Design Studio A,180,208.0,2,20,54,"[True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
47,C41101E1,19,True,Bute,120,680.0,3,102,230,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True]"
48,C42304E1,25,True,Fore,120,1104.0,4,63,64,"[True, True, False, True, False, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True]"
49,C42306E1,14,True,Fore,120,1098.0,4,62,64,"[True, True, False, True, False, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True]"
50,C42307E1,4,True,St Andrews Rm 234,120,1014.0,4,37,40,"[True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
51,C43511E1,14,True,WILTF,180,92.0,1,38,60,"[True, True, False, True, False, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
52,C52303E1,26,True,Rankine 630,120,394.0,3,12,55,"[True, True, True, True, False, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
53,C71101E1,10,True,Bute,120,290.0,2,205,230,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True]"
54,C72303E1,2,True,James Watt Design Studio A,180,250.0,2,50,54,"[True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
55,C73507E1,19,True,Rankine 629,180,568.0,3,40,53,"[True, True, True, True, False, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True]"
56,C81HAAE1,23,True,Joseph Black A504,60,1362.0,5,23,25,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
57,C81HBAE1,4,True,Hunter East,60,1526.0,5,121,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True]"
58,C81HCAE1,16,True,Hunter West,60,1528.0,5,126,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
59,C81HDAE1,6,True,Hunter East,60,1524.0,5,121,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True]"
60,C81IAAE1,9,True,James Watt Design Studio B,60,1118.0,4,67,69,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True]"
61,C81IBAE1,15,True,Gilbert Scott Conf Suite Rm 356,60,946.0,4,25,40,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
62,C81ICAE1,6,True,Sir Charles Wilson,60,1060.0,4,50,60,"[True, True, False, True, False, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
63,C81IDAE1,18,True,Rankine 630,60,1072.0,4,54,55,"[True, True, True, True, False, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
64,C81J1AE1,26,True,Joseph Black C407 (no lift),60,300.0,3,1,25,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
65,C81J1AE2,3,True,Fore,60,298.0,3,1,64,"[True, True, False, True, False, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True]"
66,C81J2AE1,11,True,Kelvin Blg Rm 220,60,442.0,3,18,50,"[True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
67,C81J3AE1,14,True,Gilbert Scott Conf Suite Rm 253,60,752.0,4,6,40,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
68,C81J3AE2,27,True,St Andrews Gym Hall,60,750.0,4,6,110,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
69,C81J4AE1,27,True,John McIntyre Rm 208,60,352.0,3,9,40,"[True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
70,C81J4AE2,2,True,St Andrews Gym Hall,60,350.0,3,9,110,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
71,C81J5AE1,16,True,Gilbert Scott Conf Suite Rm 356,60,398.0,3,13,40,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
72,C81J5AE2,24,True,Joseph Black C407 (no lift),60,396.0,3,13,25,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
73,C81JIAE1,26,True,Gilbert Scott Conf Suite Rm 253,60,296.0,3,1,40,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
74,C81JIAE2,3,True,James Watt Design Studio B,60,294.0,3,1,69,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True]"
75,C81MJAE1,27,True,59 Oakfield Ave Rm 302 (no lift),60,1536.0,6,6,10,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
76,C81MSAE1,8,True,Hunter West,60,1520.0,5,113,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
77,C82BCSE1,18,True,59 Oakfield Ave Rm 302 (no lift),60,1270.0,5,4,10,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
78,C82BUAE1,8,True,St Andrews Gym Hall,120,676.0,3,97,110,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
79,C82CUAE1,2,True,OTC,120,670.0,3,95,110,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, True]"
80,C82DUAE1,3,True,Gilbert Scott Conf Suite Rm 251,60,1312.0,5,12,15,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
81,C82HUAE1,20,True,Gilbert Scott Conf Suite Rm 251,60,1310.0,5,12,15,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
82,C82MCPE1,23,True,Gilbert Scott Conf Suite Rm 251,60,1538.0,6,11,15,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
83,C82MHAE1,17,True,Senate,120,656.0,3,75,80,"[True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
84,C82MJAE1,17,True,Kelvin Blg Rm 220,120,582.0,3,42,50,"[True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
85,C82OUAE1,18,True,Gilbert Scott Conf Suite Rm 355 (no lift),60,1266.0,5,3,30,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
86,C82SUAE1,11,True,Joseph Black A504,60,1334.0,5,16,25,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
87,C83XWHE1,26,True,James Watt Design Studio A,120,460.0,3,20,54,"[True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
88,C8COUAE1,14,True,Kelvin Blg Rm 323/324,120,90.0,1,37,50,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
89,C8CXCHE1,4,True,Kelvin Gallery,120,10.0,0,20,230,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
90,C8CXESE1,8,True,Gilbert Scott Conf Suite Rm 251,120,1306.0,5,11,15,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
91,C8CXPAE1,27,True,Joseph Black C407 (no lift),90,1344.0,5,19,25,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
92,C8P001E1,1,True,Kelvin Blg Rm 220,180,476.0,3,22,50,"[True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
93,C8P002E1,7,True,John McIntyre Rm 208,180,474.0,3,22,40,"[True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
94,D21102E1,8,True,59 Oakfield Ave Rm 302 (no lift),60,720.0,4,1,10,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
95,D22227E1,17,True,Gilbert Scott Conf Suite Rm 355 (no lift),120,726.0,4,1,30,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
96,D23342E1,17,True,Gilbert Scott Conf Suite Rm 356,120,724.0,4,1,40,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
97,D23360E1,20,True,Rankine 630,120,50.0,1,8,55,"[True, True, True, True, False, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
98,EN00C1E1,22,True,Joseph Black A504,120,1546.0,6,18,25,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
99,EN00P1E1,17,True,Joseph Black A504,120,1352.0,5,21,25,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
100,EN00P3E1,25,True,Adam Smith 915,120,1374.0,5,25,26,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
101,EN00P5E1,10,True,St Andrews Rm 237,120,1380.0,5,26,30,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
102,EN00P7E1,16,True,Joseph Black A504,120,1358.0,5,22,25,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
103,F11I01E1,13,True,OTC,60,1512.0,5,109,110,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, True]"
104,F11I02E1,13,True,Bute,120,1210.0,4,110,230,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True]"
105,F11O01E1,8,True,OTC,60,1508.0,5,108,110,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, True]"
106,F11O02E1,20,True,Hunter East,120,1218.0,4,112,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True]"
107,F11P01E1,20,True,John McIntyre Rm 201,60,1486.0,5,88,100,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
108,F11P02E1,7,True,Hunter West,120,1238.0,4,129,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
109,F12I01E1,24,True,WILTF,60,452.0,3,20,60,"[True, True, False, True, False, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
110,F12I02E1,16,True,Bute,120,698.0,3,122,230,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True]"
111,F12O01E1,17,True,Kelvin Blg Rm 323/324,120,458.0,3,20,50,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
112,F12O02E1,5,True,Kelvin Hall,120,692.0,3,114,500,"[True, True, False, True, False, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
113,F12P01E1,7,True,Kelvin Blg Rm 323/324,60,450.0,3,20,50,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
114,F12P02E1,25,True,Hunter West,120,696.0,3,122,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
115,F12P03E1,13,True,59 Oakfield Ave Rm 302 (no lift),120,362.0,3,9,10,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
116,F12X02E1,10,True,John McIntyre Rm 201,120,644.0,3,65,100,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
117,F12X04E1,15,True,59 Oakfield Ave Rm 302 (no lift),90,1290.0,5,9,10,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
118,F12X04E2,3,True,Adam Smith 915,90,1288.0,5,9,26,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
119,F12X04E3,26,True,59 Oakfield Ave Rm 302 (no lift),90,1286.0,5,9,10,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
120,F12X05E1,19,True,James Watt Design Studio A,120,360.0,3,9,54,"[True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
121,F13I01E1,2,True,Sir Charles Wilson,60,526.0,3,30,60,"[True, True, False, True, False, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
122,F13I02E1,8,True,OTC,120,1196.0,4,103,110,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, True]"
123,F13I03E1,16,True,Joseph Black A504,60,1542.0,6,15,25,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
124,F13I05E1,20,True,Kelvin Hall,60,718.0,4,1,500,"[True, True, False, True, False, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
125,F13I06E1,11,True,Rankine 629,60,716.0,4,1,53,"[True, True, True, True, False, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True]"
126,F13O02E1,2,True,OTC,120,1194.0,4,103,110,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, True]"
127,F13O03E1,27,True,Joseph Black A504,60,1540.0,6,15,25,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
128,F13O06E1,3,True,59 Oakfield Ave Rm 302 (no lift),60,1262.0,5,1,10,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
129,F13P01E1,26,True,Bute,120,1216.0,4,111,230,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True]"
130,F13P02E1,2,True,Sir Charles Wilson,120,380.0,3,11,60,"[True, True, False, True, False, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
131,F13P03E1,9,True,Rankine 629,60,590.0,3,44,53,"[True, True, True, True, False, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True]"
132,F13P05E1,18,True,59 Oakfield Ave Rm 302 (no lift),60,1280.0,5,8,10,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
133,F13X01E1,8,True,Kelvin Gallery,120,378.0,3,11,230,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
134,F13X03E1,15,True,Joseph Black A504,60,1544.0,6,18,25,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
135,F13X04E1,17,True,Bute,120,664.0,3,86,230,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True]"
136,F311A1E1,10,True,Rankine 629,60,1586.0,8,52,53,"[True, True, True, True, False, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True]"
137,F311B1E1,11,True,WILT 112,60,1582.0,8,43,50,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True]"
138,F311E1E1,8,True,OTC,60,1590.0,8,106,110,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, True]"
139,F311M0E1,18,True,OTC,60,1588.0,8,103,110,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, True]"
140,F311M1E1,2,True,Hunter West,60,1596.0,8,161,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
141,F311Q1E1,27,True,Hunter West,60,1594.0,8,157,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
142,F311T1E1,25,True,Hunter West,60,1598.0,8,175,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
143,F311V1E1,26,True,WILT 112,60,1584.0,8,47,50,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True]"
144,F311X1E1,14,True,St Andrews Rm 234,60,1406.0,5,37,40,"[True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
145,F311X2E1,24,True,Adam Smith 915,60,1368.0,5,25,26,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
146,F311X4E1,1,True,Senate,60,1472.0,5,67,80,"[True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
